meta_prompt,vanilla_prompt,n1,obj1,n2,obj2,synthetic_prompt
"In one sentence, Describe a real scene about 1 hair drier.",1 hair drier,1,hair drier,0,,"a woman is standing in front of a mirror, using a hair drier to style her hair."
"In one sentence, Describe a real scene about 1 orange.",1 orange,1,orange,0,,"a bright orange sits in the middle of a white plate, its glossy skin glistening in the sunlight."
"In one sentence, Describe a real scene about 2 potted plant.",2 potted plant,2,potted plant,0,,"two potted plants sit side by side on a sunny windowsill, their lush green leaves reaching towards the sun's rays."
"In one sentence, Describe a real scene about 2 zebra.",2 zebra,2,zebra,0,,"two zebra are standing side-by-side in a grassy field, grazing on the lush green vegetation."
"In one sentence, Describe a real scene about 1 elephant.",1 elephant,1,elephant,0,,"a large, grey elephant is peacefully grazing in a grassy field, its trunk swaying gently in the breeze."
"In one sentence, Describe a real scene about 2 dog.",2 dog,2,dog,0,,"two dogs are running around a park, playing fetch and chasing each other."
"In one sentence, Describe a real scene about 1 apple.",1 apple,1,apple,0,,"a red apple sits on a wooden table, its shiny skin glistening in the sunlight."
"In one sentence, Describe a real scene about 2 bicycle.",2 bicycle,2,bicycle,0,,"two cyclists are riding their bicycles side by side down a sunny, tree-lined street."
"In one sentence, Describe a real scene about 1 potted plant.",1 potted plant,1,potted plant,0,,"a single, small potted plant sits on a windowsill, its bright green leaves illuminated by the sun streaming through the glass."
"In one sentence, Describe a real scene about 1 couch.",1 couch,1,couch,0,,"a cozy beige couch sits in the corner of the room, inviting people to sit and relax."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,"two spoons are lying side-by-side on a kitchen countertop, reflecting the light from the window."
"In one sentence, Describe a real scene about 2 clock.",2 clock,2,clock,0,,"two clocks ticking in unison, the sound of time passing by."
"In one sentence, Describe a real scene about 1 suitcase.",1 suitcase,1,suitcase,0,,"a woman is standing at an airport check-in counter, struggling to fit her heavy suitcase onto the scale."
"In one sentence, Describe a real scene about 1 clock.",1 clock,1,clock,0,,"at 1 o'clock, the sun is shining brightly in a cloudless sky and people are out and about, enjoying the day."
"In one sentence, Describe a real scene about 2 couch.",2 couch,2,couch,0,,"two couches are situated side by side in a cozy living room, surrounded by bookshelves and a fireplace."
"In one sentence, Describe a real scene about 2 backpack.",2 backpack,2,backpack,0,,"two friends are standing in front of a store, comparing the different features of the two backpacks they are interested in buying."
"In one sentence, Describe a real scene about 1 cake.",1 cake,1,cake,0,,"one cake sits on a white plate in the center of a kitchen table, surrounded by colorful candles and streamers."
"In one sentence, Describe a real scene about 1 sandwich.",1 sandwich,1,sandwich,0,,"a freshly-made turkey sandwich with lettuce, tomato, and mayonnaise sits on a plate next to a glass of iced tea."
"In one sentence, Describe a real scene about 2 sheep.",2 sheep,2,sheep,0,,two white sheep grazing together in a grassy field on a sunny day.
"In one sentence, Describe a real scene about 2 toilet.",2 toilet,2,toilet,0,,"two white toilets sit side-by-side in a clean, brightly-lit bathroom."
"In one sentence, Describe a real scene about 1 airplane.",1 airplane,1,airplane,0,,"a large commercial airplane is taking off from an airport runway, its engines roaring as it ascends into the sky."
"In one sentence, Describe a real scene about 1 microwave.",1 microwave,1,microwave,0,,"a person is standing in front of a white microwave, pushing buttons to heat up their food."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting in different locations, communicating via video chat on their laptops to discuss a project they are working on remotely."
"In one sentence, Describe a real scene about 1 bowl.",1 bowl,1,bowl,0,,"a bowl filled with steaming hot soup sits on the table, steam rising from its surface."
"In one sentence, Describe a real scene about 2 keyboard.",2 keyboard,2,keyboard,0,,"two people are sitting side-by-side at a desk, typing away on their individual keyboards."
"In one sentence, Describe a real scene about 2 traffic light.",2 traffic light,2,traffic light,0,,"two traffic lights are side by side, one red and one green, with cars stopped at the red light and cars driving through the green light."
"In one sentence, Describe a real scene about 1 surfboard.",1 surfboard,1,surfboard,0,,"a surfer is riding a bright blue surfboard in the ocean, enjoying the sun and the waves."
"In one sentence, Describe a real scene about 2 sheep.",2 sheep,2,sheep,0,,"two sheep are standing in a grassy meadow, eating peacefully and enjoying the sunny day."
"In one sentence, Describe a real scene about 2 suitcase.",2 suitcase,2,suitcase,0,,"two suitcases sit side-by-side in an airport terminal, waiting to be checked in for a flight."
"In one sentence, Describe a real scene about 1 bottle.",1 bottle,1,bottle,0,,"a single glass bottle filled with water sits on a wooden table, reflecting the sunlight streaming through the window."
"In one sentence, Describe a real scene about 1 potted plant.",1 potted plant,1,potted plant,0,,"a single potted plant sits on a windowsill, its green leaves illuminated by the sun's rays."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a bright red sports car is parked in a sunny parking lot, gleaming in the sunlight."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"a single fork lies on a plate, its tines glinting in the light of the kitchen."
"In one sentence, Describe a real scene about 1 apple.",1 apple,1,apple,0,,"one apple is sitting on a wooden table, its red skin glistening in the bright sunlight."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting in different rooms, talking to each other over video chat on their laptops."
"In one sentence, Describe a real scene about 2 carrot.",2 carrot,2,carrot,0,,"two carrots are sitting side-by-side in a vegetable patch, with their bright orange tops poking out of the soil."
"In one sentence, Describe a real scene about 2 snowboard.",2 snowboard,2,snowboard,0,,"two snowboarders are carving turns down a snow-covered mountain, their laughter echoing through the crisp winter air."
