meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
a car on a dog.,car,dog,,,on,,
a car below a person.,car,person,,,below,,
a cat on the right of a dog.,cat,dog,,,on the right of,,
a airplane below a car.,airplane,car,,,below,,
a chair on a airplane.,chair,airplane,,,on,,
a banana above a horse.,banana,horse,,,above,,
a car over a person.,car,person,,,over,,
a airplane under a banana.,airplane,banana,,,under,,
a car above a chair.,car,chair,,,above,,
a cat beneath a airplane.,cat,airplane,,,beneath,,
a dog over a cat.,dog,cat,,,over,,
a person under a cat.,person,cat,,,under,,
a cat below a person.,cat,person,,,below,,
a dog on a car.,dog,car,,,on,,
a horse beneath a chair.,horse,chair,,,beneath,,
a person below a cat.,person,cat,,,below,,
a horse beneath a dog.,horse,dog,,,beneath,,
a cat on the left of a horse.,cat,horse,,,on the left of,,
a car over a chair.,car,chair,,,over,,
a chair beneath a dog.,chair,dog,,,beneath,,
a car over a airplane.,car,airplane,,,over,,
a car below a cat.,car,cat,,,below,,
a horse beneath a cat.,horse,cat,,,beneath,,
a person on the left of a horse.,person,horse,,,on the left of,,
a person above a cat.,person,cat,,,above,,
a cat below a car.,cat,car,,,below,,
a horse on a airplane.,horse,airplane,,,on,,
a horse below a airplane.,horse,airplane,,,below,,
a car below a banana.,car,banana,,,below,,
a chair over a banana.,chair,banana,,,over,,
a dog on the left of a person.,dog,person,,,on the left of,,
a horse on a cat.,horse,cat,,,on,,
a cat below a person.,cat,person,,,below,,
a dog on a chair.,dog,chair,,,on,,
a car under a chair.,car,chair,,,under,,
a horse below a person.,horse,person,,,below,,
a dog on the right of a chair.,dog,chair,,,on the right of,,
a chair beneath a cat.,chair,cat,,,beneath,,
a dog on a airplane.,dog,airplane,,,on,,
a car on a dog.,car,dog,,,on,,
a dog over a cat.,dog,cat,,,over,,
a airplane on the right of a dog.,airplane,dog,,,on the right of,,
a person over a airplane.,person,airplane,,,over,,
a horse above a banana.,horse,banana,,,above,,
a cat over a chair.,cat,chair,,,over,,
a car below a dog.,car,dog,,,below,,
a banana on the right of a dog.,banana,dog,,,on the right of,,
a dog below a car.,dog,car,,,below,,
a banana beneath a dog.,banana,dog,,,beneath,,
a horse beneath a airplane.,horse,airplane,,,beneath,,
a person on the right of a airplane.,person,airplane,,,on the right of,,
a airplane on the left of a car.,airplane,car,,,on the left of,,
a chair on the right of a airplane.,chair,airplane,,,on the right of,,
a horse beneath a cat.,horse,cat,,,beneath,,
a airplane over a car.,airplane,car,,,over,,
a person on the left of a horse.,person,horse,,,on the left of,,
a horse on the right of a car.,horse,car,,,on the right of,,
a horse below a car.,horse,car,,,below,,
a person on a airplane.,person,airplane,,,on,,
a chair under a dog.,chair,dog,,,under,,
a horse under a car.,horse,car,,,under,,
a cat above a person.,cat,person,,,above,,
a car on a airplane.,car,airplane,,,on,,
a airplane on the right of a person.,airplane,person,,,on the right of,,
a person on the left of a horse.,person,horse,,,on the left of,,
a car above a chair.,car,chair,,,above,,
a person over a banana.,person,banana,,,over,,
a banana beneath a chair.,banana,chair,,,beneath,,
a cat below a horse.,cat,horse,,,below,,
a horse below a airplane.,horse,airplane,,,below,,
a dog on the right of a chair.,dog,chair,,,on the right of,,
a airplane on the right of a chair.,airplane,chair,,,on the right of,,
a car on the left of a person.,car,person,,,on the left of,,
a airplane under a dog.,airplane,dog,,,under,,
a cat below a car.,cat,car,,,below,,
a banana on the left of a horse.,banana,horse,,,on the left of,,
a person on a banana.,person,banana,,,on,,
a person on the left of a airplane.,person,airplane,,,on the left of,,
a chair beneath a person.,chair,person,,,beneath,,
a chair under a cat.,chair,cat,,,under,,
a cat on the left of a horse.,cat,horse,,,on the left of,,
a car on a horse.,car,horse,,,on,,
a banana over a person.,banana,person,,,over,,
a cat below a dog.,cat,dog,,,below,,
a cat under a banana.,cat,banana,,,under,,
a person on a cat.,person,cat,,,on,,
a airplane on the left of a banana.,airplane,banana,,,on the left of,,
a banana on the left of a horse.,banana,horse,,,on the left of,,
a person on the right of a airplane.,person,airplane,,,on the right of,,
a cat under a airplane.,cat,airplane,,,under,,
a person above a chair.,person,chair,,,above,,
a cat beneath a dog.,cat,dog,,,beneath,,
a car under a chair.,car,chair,,,under,,
a airplane on the left of a chair.,airplane,chair,,,on the left of,,
a person on the left of a car.,person,car,,,on the left of,,
a chair below a car.,chair,car,,,below,,
a dog on the left of a car.,dog,car,,,on the left of,,
a horse below a cat.,horse,cat,,,below,,
a car above a horse.,car,horse,,,above,,
a cat on a banana.,cat,banana,,,on,,
a banana under a person.,banana,person,,,under,,
a chair beneath a horse.,chair,horse,,,beneath,,
a banana below a chair.,banana,chair,,,below,,
a cat on the left of a car.,cat,car,,,on the left of,,
a dog on the right of a cat.,dog,cat,,,on the right of,,
a banana on the left of a airplane.,banana,airplane,,,on the left of,,
a dog on the left of a car.,dog,car,,,on the left of,,
a horse beneath a dog.,horse,dog,,,beneath,,
a horse on the right of a airplane.,horse,airplane,,,on the right of,,
a chair above a airplane.,chair,airplane,,,above,,
a dog on the left of a airplane.,dog,airplane,,,on the left of,,
a banana above a dog.,banana,dog,,,above,,
a banana on the left of a person.,banana,person,,,on the left of,,
a airplane on the left of a car.,airplane,car,,,on the left of,,
a dog on the left of a banana.,dog,banana,,,on the left of,,
a person beneath a chair.,person,chair,,,beneath,,
a horse below a airplane.,horse,airplane,,,below,,
a banana beneath a airplane.,banana,airplane,,,beneath,,
a cat on the left of a banana.,cat,banana,,,on the left of,,
a cat under a chair.,cat,chair,,,under,,
a person under a cat.,person,cat,,,under,,
a banana on a person.,banana,person,,,on,,
a dog on a horse.,dog,horse,,,on,,
a airplane on a horse.,airplane,horse,,,on,,
a dog on the left of a airplane.,dog,airplane,,,on the left of,,
a car in the middle of banana and airplane.,car,banana,airplane,,in the middle of,,
a banana above a dog and on a horse.,banana,dog,horse,,above,on,
a chair on the right of a airplane and on a horse.,chair,airplane,horse,,on the right of,on,
a horse on a dog and beneath a person.,horse,dog,person,,on,beneath,
a person beneath a chair and under a dog.,person,chair,dog,,beneath,under,
a banana beneath a car and on the right of a horse.,banana,car,horse,,beneath,on the right of,
a car above a horse and under a airplane.,car,horse,airplane,,above,under,
a person on the left of a chair and on a airplane.,person,chair,airplane,,on the left of,on,
a car below a chair and above a airplane.,car,chair,airplane,,below,above,
a horse on a airplane and under a dog.,horse,airplane,dog,,on,under,
a airplane among banana and car.,airplane,banana,car,,among,,
a banana among chair and airplane.,banana,chair,airplane,,among,,
a banana in the middle of chair and cat.,banana,chair,cat,,in the middle of,,
a chair on a car and below a person.,chair,car,person,,on,below,
a horse under a dog and below a person.,horse,dog,person,,under,below,
a car on a dog and above a banana.,car,dog,banana,,on,above,
a cat over a car and above a chair.,cat,car,chair,,over,above,
a dog below a banana and on the right of a cat.,dog,banana,cat,,below,on the right of,
a dog among banana and airplane.,dog,banana,airplane,,among,,
a airplane above a chair and on the left of a banana.,airplane,chair,banana,,above,on the left of,
a cat above a horse and on the right of a banana.,cat,horse,banana,,above,on the right of,
a cat among dog and horse.,cat,dog,horse,,among,,
a chair beneath a airplane and on a dog.,chair,airplane,dog,,beneath,on,
a cat on a car and below a dog.,cat,car,dog,,on,below,
a person on a cat and on the left of a dog.,person,cat,dog,,on,on the left of,
a cat under a car and on the right of a dog.,cat,car,dog,,under,on the right of,
a horse on a banana and beneath a chair.,horse,banana,chair,,on,beneath,
a car in the middle of airplane and dog.,car,airplane,dog,,in the middle of,,
a dog on the right of a chair and over a banana.,dog,chair,banana,,on the right of,over,
a cat under a car and over a airplane.,cat,car,airplane,,under,over,
a horse on a chair and on the left of a car.,horse,chair,car,,on,on the left of,
a chair among banana and airplane.,chair,banana,airplane,,among,,
a person above a car and on the left of a airplane.,person,car,airplane,,above,on the left of,
a airplane on the right of a horse and over a cat.,airplane,horse,cat,,on the right of,over,
a dog below a car and above a horse.,dog,car,horse,,below,above,
a airplane among car and cat.,airplane,car,cat,,among,,
a dog under a person and on a airplane.,dog,person,airplane,,under,on,
a person on the left of a banana and over a cat.,person,banana,cat,,on the left of,over,
a person on the right of a horse and below a car.,person,horse,car,,on the right of,below,
a horse over a car and under a airplane.,horse,car,airplane,,over,under,
a horse above a chair and under a airplane.,horse,chair,airplane,,above,under,
a banana under a person and on the left of a car.,banana,person,car,,under,on the left of,
a horse in the middle of car and airplane.,horse,car,airplane,,in the middle of,,
a banana on the right of a person and under a horse.,banana,person,horse,,on the right of,under,
a cat above a banana and on the right of a chair.,cat,banana,chair,,above,on the right of,
a person over a cat and above a chair.,person,cat,chair,,over,above,
a horse on a car and on the right of a chair.,horse,car,chair,,on,on the right of,
a banana below a airplane and under a car.,banana,airplane,car,,below,under,
a banana above a dog and under a horse.,banana,dog,horse,,above,under,
a dog on the left of a person and beneath a banana.,dog,person,banana,,on the left of,beneath,
a chair on a cat and on the left of a horse.,chair,cat,horse,,on,on the left of,
a airplane between car and person.,airplane,car,person,,between,,
a banana beneath a cat and above a airplane.,banana,cat,airplane,,beneath,above,
a airplane on a banana and on the right of a horse.,airplane,banana,horse,,on,on the right of,
a car on the left of a cat and under a banana.,car,cat,banana,,on the left of,under,
a person in the middle of banana and chair.,person,banana,chair,,in the middle of,,
a dog above a car and under a person.,dog,car,person,,above,under,
a airplane in the middle of cat and horse.,airplane,cat,horse,,in the middle of,,
a dog between person and banana.,dog,person,banana,,between,,
a banana under a airplane and beneath a person.,banana,airplane,person,,under,beneath,
a chair on the left of a car and beneath a person.,chair,car,person,,on the left of,beneath,
a person under a banana and on the left of a cat.,person,banana,cat,,under,on the left of,
a person on the right of a airplane and under a banana.,person,airplane,banana,,on the right of,under,
a chair over a horse and below a banana.,chair,horse,banana,,over,below,
a person in the middle of dog and airplane.,person,dog,airplane,,in the middle of,,
a dog on a car and over a person.,dog,car,person,,on,over,
a airplane under a dog and on the right of a cat.,airplane,dog,cat,,under,on the right of,
a dog in the middle of banana and cat.,dog,banana,cat,,in the middle of,,
a person above a dog and on the right of a cat.,person,dog,cat,,above,on the right of,
a banana on the left of a horse and under a dog.,banana,horse,dog,,on the left of,under,
a banana above a horse and on the left of a car.,banana,horse,car,,above,on the left of,
a airplane under a horse and above a car.,airplane,horse,car,,under,above,
a cat on a horse and on the right of a airplane.,cat,horse,airplane,,on,on the right of,
a person above a banana and beneath a horse.,person,banana,horse,,above,beneath,
a person between car and banana.,person,car,banana,,between,,
a dog above a car and under a horse.,dog,car,horse,,above,under,
a banana over a chair and on a airplane.,banana,chair,airplane,,over,on,
a airplane below a horse and on the right of a chair.,airplane,horse,chair,,below,on the right of,
a horse on the left of a car and under a cat.,horse,car,cat,,on the left of,under,
a airplane on the left of a horse and under a dog.,airplane,horse,dog,,on the left of,under,
a chair on the right of a person and below a horse.,chair,person,horse,,on the right of,below,
a cat in the middle of chair and banana.,cat,chair,banana,,in the middle of,,
a chair between cat and dog.,chair,cat,dog,,between,,
a dog over a cat and above a airplane.,dog,cat,airplane,,over,above,
a cat on a horse and on the right of a car.,cat,horse,car,,on,on the right of,
a person beneath a horse and above a chair.,person,horse,chair,,beneath,above,
a dog on the left of a car and under a banana.,dog,car,banana,,on the left of,under,
a dog beneath a chair and on a banana.,dog,chair,banana,,beneath,on,
a airplane beneath a chair and on the left of a dog.,airplane,chair,dog,,beneath,on the left of,
a cat among banana and person.,cat,banana,person,,among,,
a horse in the middle of banana and airplane.,horse,banana,airplane,,in the middle of,,
a cat under a chair and below a horse.,cat,chair,horse,,under,below,
a cat on the left of a banana and under a chair.,cat,banana,chair,,on the left of,under,
a dog on the left of a horse and over a chair.,dog,horse,chair,,on the left of,over,
a cat under a person and above a dog.,cat,person,dog,,under,above,
a car between banana and dog.,car,banana,dog,,between,,
a dog below a banana and over a horse.,dog,banana,horse,,below,over,
a cat under a dog and on the left of a person.,cat,dog,person,,under,on the left of,
a person above a chair and on the right of a airplane.,person,chair,airplane,,above,on the right of,
a car over a horse and beneath a banana.,car,horse,banana,,over,beneath,
a person over a dog and on a cat.,person,dog,cat,,over,on,
a chair under a horse and on the right of a person.,chair,horse,person,,under,on the right of,
a banana in the middle of dog and person.,banana,dog,person,,in the middle of,,
a chair on the left of a airplane and on the right of a horse.,chair,airplane,horse,,on the left of,on the right of,
a horse between cat and dog.,horse,cat,dog,,between,,
a chair on a cat and above a dog.,chair,cat,dog,,on,above,
a cat above a horse and beneath a banana.,cat,horse,banana,,above,beneath,
a airplane on the left of a chair and on a person.,airplane,chair,person,,on the left of,on,
a person on the right of a banana and on a cat.,person,banana,cat,,on the right of,on,
a banana on a cat and above a chair.,banana,cat,chair,,on,above,
a car between horse and chair.,car,horse,chair,,between,,
a dog above a cat and beneath a horse.,dog,cat,horse,,above,beneath,
a horse among banana and cat.,horse,banana,cat,,among,,
a person below a cat and on the left of a horse.,person,cat,horse,,below,on the left of,
a cat on a person and beneath a airplane.,cat,person,airplane,,on,beneath,
a airplane on a person and beneath a chair.,airplane,person,chair,,on,beneath,
a horse above a chair and over a person.,horse,chair,person,,above,over,
a horse beneath a cat and on the left of a person.,horse,cat,person,,beneath,on the left of,
a airplane in the middle of car and person.,airplane,car,person,,in the middle of,,
a horse on a banana and under a chair.,horse,banana,chair,,on,under,
a airplane in the middle of banana and horse.,airplane,banana,horse,,in the middle of,,
a airplane below a cat and under a person.,airplane,cat,person,,below,under,
a airplane on a person and beneath a chair.,airplane,person,chair,,on,beneath,
a cat among car and airplane.,cat,car,airplane,,among,,
a person below a airplane and over a cat.,person,airplane,cat,,below,over,
a cat beneath a dog and over a car.,cat,dog,car,,beneath,over,
a airplane over a chair and on a banana.,airplane,chair,banana,,over,on,
a chair between dog and banana.,chair,dog,banana,,between,,
a person on the right of a horse and under a car.,person,horse,car,,on the right of,under,
a person beneath a dog and below a horse.,person,dog,horse,,beneath,below,
a airplane over a cat and under a banana.,airplane,cat,banana,,over,under,
a chair on the right of a airplane and on the left of a person.,chair,airplane,person,,on the right of,on the left of,
a chair under a horse and on the right of a banana.,chair,horse,banana,,under,on the right of,
a person on the right of a dog and on a banana.,person,dog,banana,,on the right of,on,
a dog beneath a cat and on the left of a chair.,dog,cat,chair,,beneath,on the left of,
a car among banana and dog.,car,banana,dog,,among,,
a airplane below a person and above a car.,airplane,person,car,,below,above,
a dog on the left of a person and on the right of a cat.,dog,person,cat,,on the left of,on the right of,
a person on a airplane and under a cat.,person,airplane,cat,,on,under,
a cat under a airplane and on a person.,cat,airplane,person,,under,on,
a cat under a chair and beneath a dog.,cat,chair,dog,,under,beneath,
a horse on the right of a dog and on a car.,horse,dog,car,,on the right of,on,
a airplane in the middle of horse and cat.,airplane,horse,cat,,in the middle of,,
a cat among person and banana.,cat,person,banana,,among,,
a airplane on a dog and beneath a horse.,airplane,dog,horse,,on,beneath,
a person above a banana and over a chair.,person,banana,chair,,above,over,
a dog on the right of a banana and over a car.,dog,banana,car,,on the right of,over,
a dog over a person and beneath a airplane.,dog,person,airplane,,over,beneath,
a car beneath a banana and over a cat.,car,banana,cat,,beneath,over,
a banana on the left of a cat and above a horse.,banana,cat,horse,,on the left of,above,
a dog on the left of a horse and below a banana.,dog,horse,banana,,on the left of,below,
a dog on the right of a car and on the left of a chair.,dog,car,chair,,on the right of,on the left of,
a car in the middle of dog and banana.,car,dog,banana,,in the middle of,,
a airplane above a chair and beneath a horse.,airplane,chair,horse,,above,beneath,
a car among horse and airplane.,car,horse,airplane,,among,,
a cat above a chair and over a person.,cat,chair,person,,above,over,
a person below a car and over a cat.,person,car,cat,,below,over,
a dog in the middle of banana and car.,dog,banana,car,,in the middle of,,
a horse between cat and person.,horse,cat,person,,between,,
a dog on the left of a car and on the right of a airplane.,dog,car,airplane,,on the left of,on the right of,
a car below a person and beneath a banana.,car,person,banana,,below,beneath,
a cat under a chair and over a banana.,cat,chair,banana,,under,over,
a chair below a dog and on the right of a cat.,chair,dog,cat,,below,on the right of,
a dog in the middle of car and cat.,dog,car,cat,,in the middle of,,
a car beneath a airplane and on the left of a horse.,car,airplane,horse,,beneath,on the left of,
a chair under a person and above a horse.,chair,person,horse,,under,above,
a banana on the left of a person and on the right of a car.,banana,person,car,,on the left of,on the right of,
a person among horse and dog.,person,horse,dog,,among,,
a airplane under a car and on the left of a cat.,airplane,car,cat,,under,on the left of,
a person among dog and airplane.,person,dog,airplane,,among,,
a person under a cat and on the left of a dog.,person,cat,dog,,under,on the left of,
a dog beneath a horse and on the right of a chair.,dog,horse,chair,,beneath,on the right of,
a chair in the middle of person and airplane.,chair,person,airplane,,in the middle of,,
a dog above a car and under a banana.,dog,car,banana,,above,under,
a airplane beneath a cat and above a person.,airplane,cat,person,,beneath,above,
a banana between chair and cat.,banana,chair,cat,,between,,
a airplane under a chair and on the left of a dog.,airplane,chair,dog,,under,on the left of,
a banana on the left of a person and over a dog.,banana,person,dog,,on the left of,over,
a airplane on the left of a car and on the right of a person.,airplane,car,person,,on the left of,on the right of,
a banana over a airplane and above a chair.,banana,airplane,chair,,over,above,
a person between chair and car.,person,chair,car,,between,,
a cat in the middle of car and chair.,cat,car,chair,,in the middle of,,
a dog beneath a cat and below a banana.,dog,cat,banana,,beneath,below,
a horse on the right of a chair and on a banana.,horse,chair,banana,,on the right of,on,
a person on the left of a cat and under a dog.,person,cat,dog,,on the left of,under,
a dog among airplane and banana.,dog,airplane,banana,,among,,
a chair among car and banana.,chair,car,banana,,among,,
a cat beneath a person and on the right of a airplane.,cat,person,airplane,,beneath,on the right of,
a airplane below a chair and under a cat.,airplane,chair,cat,,below,under,
a horse on a banana and under a car.,horse,banana,car,,on,under,
a banana beneath a person and over a cat.,banana,person,cat,,beneath,over,
a horse on the left of a banana and on the right of a dog.,horse,banana,dog,,on the left of,on the right of,
a banana on the left of a horse and over a dog.,banana,horse,dog,,on the left of,over,
a cat between car and banana.,cat,car,banana,,between,,
a banana above a airplane and on the left of a person.,banana,airplane,person,,above,on the left of,
a cat on the left of a chair and under a person.,cat,chair,person,,on the left of,under,
a dog above a airplane and on a banana.,dog,airplane,banana,,above,on,
a dog on a banana and on the right of a horse.,dog,banana,horse,,on,on the right of,
a airplane below a dog and on a banana.,airplane,dog,banana,,below,on,
a banana on a airplane and below a horse.,banana,airplane,horse,,on,below,
a airplane on the right of a person and on the left of a chair.,airplane,person,chair,,on the right of,on the left of,
a dog on the right of a chair and on a cat.,dog,chair,cat,,on the right of,on,
