meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
"a banana and a person, the banana is smaller than the person.",banana,person,,,smaller,,
"a dog and a chair, the dog is smaller than the chair.",dog,chair,,,smaller,,
"a car and a cat, the car is bigger than the cat.",car,cat,,,bigger,,
"a car and a cat, the car is larger than the cat.",car,cat,,,larger,,
"a person and a chair, the person is smaller than the chair.",person,chair,,,smaller,,
"a cat and a horse, the cat is larger than the horse.",cat,horse,,,larger,,
"a horse and a car, the horse is bigger than the car.",horse,car,,,bigger,,
"a chair and a airplane, the chair is larger than the airplane.",chair,airplane,,,larger,,
"a cat and a airplane, the cat is bigger than the airplane.",cat,airplane,,,bigger,,
"a banana and a airplane, the banana is bigger than the airplane.",banana,airplane,,,bigger,,
"a airplane and a person, the airplane is smaller than the person.",airplane,person,,,smaller,,
"a cat and a chair, the cat is bigger than the chair.",cat,chair,,,bigger,,
"a person and a dog, the person is smaller than the dog.",person,dog,,,smaller,,
"a banana and a chair, the banana is smaller than the chair.",banana,chair,,,smaller,,
"a car and a dog, the car is larger than the dog.",car,dog,,,larger,,
"a horse and a car, the horse is bigger than the car.",horse,car,,,bigger,,
"a dog and a banana, the dog is bigger than the banana.",dog,banana,,,bigger,,
"a person and a airplane, the person is bigger than the airplane.",person,airplane,,,bigger,,
"a chair and a airplane, the chair is bigger than the airplane.",chair,airplane,,,bigger,,
"a chair and a cat, the chair is smaller than the cat.",chair,cat,,,smaller,,
"a car and a cat, the car is bigger than the cat.",car,cat,,,bigger,,
"a dog and a banana, the dog is smaller than the banana.",dog,banana,,,smaller,,
"a airplane and a banana, the airplane is larger than the banana.",airplane,banana,,,larger,,
"a banana and a cat, the banana is smaller than the cat.",banana,cat,,,smaller,,
"a dog and a car, the dog is smaller than the car.",dog,car,,,smaller,,
"a person and a car, the person is bigger than the car.",person,car,,,bigger,,
"a dog and a person, the dog is smaller than the person.",dog,person,,,smaller,,
"a cat and a banana, the cat is smaller than the banana.",cat,banana,,,smaller,,
"a car and a dog, the car is smaller than the dog.",car,dog,,,smaller,,
"a cat and a horse, the cat is smaller than the horse.",cat,horse,,,smaller,,
"a banana and a cat, the banana is bigger than the cat.",banana,cat,,,bigger,,
"a horse and a cat, the horse is larger than the cat.",horse,cat,,,larger,,
"a banana and a cat, the banana is bigger than the cat.",banana,cat,,,bigger,,
"a car and a airplane, the car is bigger than the airplane.",car,airplane,,,bigger,,
"a dog and a person, the dog is smaller than the person.",dog,person,,,smaller,,
"a car and a cat, the car is larger than the cat.",car,cat,,,larger,,
"a horse and a car, the horse is bigger than the car.",horse,car,,,bigger,,
"a horse and a person, the horse is smaller than the person.",horse,person,,,smaller,,
"a banana and a horse, the banana is smaller than the horse.",banana,horse,,,smaller,,
"a cat and a chair, the cat is larger than the chair.",cat,chair,,,larger,,
"a airplane and a cat, the airplane is smaller than the cat.",airplane,cat,,,smaller,,
"a chair and a airplane, the chair is larger than the airplane.",chair,airplane,,,larger,,
"a dog and a chair, the dog is smaller than the chair.",dog,chair,,,smaller,,
"a airplane and a horse, the airplane is larger than the horse.",airplane,horse,,,larger,,
"a car and a cat, the car is larger than the cat.",car,cat,,,larger,,
"a banana and a person, the banana is larger than the person.",banana,person,,,larger,,
"a horse and a cat, the horse is smaller than the cat.",horse,cat,,,smaller,,
"a person and a horse, the person is smaller than the horse.",person,horse,,,smaller,,
"a airplane and a cat, the airplane is bigger than the cat.",airplane,cat,,,bigger,,
"a person and a horse, the person is bigger than the horse.",person,horse,,,bigger,,
"a airplane and a horse, the airplane is bigger than the horse.",airplane,horse,,,bigger,,
"a horse and a airplane, the horse is smaller than the airplane.",horse,airplane,,,smaller,,
"a chair and a car, the chair is smaller than the car.",chair,car,,,smaller,,
"a chair and a car, the chair is bigger than the car.",chair,car,,,bigger,,
"a dog and a chair, the dog is larger than the chair.",dog,chair,,,larger,,
"a dog and a horse, the dog is larger than the horse.",dog,horse,,,larger,,
"a banana and a car, the banana is larger than the car.",banana,car,,,larger,,
"a chair and a banana, the chair is smaller than the banana.",chair,banana,,,smaller,,
"a horse and a airplane, the horse is bigger than the airplane.",horse,airplane,,,bigger,,
"a chair and a car, the chair is bigger than the car.",chair,car,,,bigger,,
"a person and a horse, the person is larger than the horse.",person,horse,,,larger,,
"a airplane and a cat, the airplane is bigger than the cat.",airplane,cat,,,bigger,,
"a airplane and a banana, the airplane is smaller than the banana.",airplane,banana,,,smaller,,
"a cat and a airplane, the cat is bigger than the airplane.",cat,airplane,,,bigger,,
"a airplane and a dog, the airplane is bigger than the dog.",airplane,dog,,,bigger,,
"a banana and a cat, the banana is larger than the cat.",banana,cat,,,larger,,
"a cat and a person, the cat is larger than the person.",cat,person,,,larger,,
"a person and a dog, the person is larger than the dog.",person,dog,,,larger,,
"a airplane and a chair, the airplane is smaller than the chair.",airplane,chair,,,smaller,,
"a chair and a car, the chair is larger than the car.",chair,car,,,larger,,
"a dog and a cat, the dog is bigger than the cat.",dog,cat,,,bigger,,
"a airplane and a horse, the airplane is bigger than the horse.",airplane,horse,,,bigger,,
"a car and a dog, the car is bigger than the dog.",car,dog,,,bigger,,
"a banana and a person, the banana is larger than the person.",banana,person,,,larger,,
"a chair and a airplane, the chair is bigger than the airplane.",chair,airplane,,,bigger,,
"a car and a banana, the car is larger than the banana.",car,banana,,,larger,,
"a dog and a banana, the dog is bigger than the banana.",dog,banana,,,bigger,,
"a airplane and a chair, the airplane is larger than the chair.",airplane,chair,,,larger,,
"a dog and a horse, the dog is larger than the horse.",dog,horse,,,larger,,
"a chair and a cat, the chair is larger than the cat.",chair,cat,,,larger,,
"a car and a chair, the car is bigger than the chair.",car,chair,,,bigger,,
"a airplane and a dog, the airplane is bigger than the dog.",airplane,dog,,,bigger,,
"a horse and a chair, the horse is smaller than the chair.",horse,chair,,,smaller,,
"a cat and a person, the cat is bigger than the person.",cat,person,,,bigger,,
"a dog and a airplane, the dog is smaller than the airplane.",dog,airplane,,,smaller,,
"a car and a airplane, the car is larger than the airplane.",car,airplane,,,larger,,
"a banana and a cat, the banana is larger than the cat.",banana,cat,,,larger,,
"a banana and a cat, the banana is larger than the cat.",banana,cat,,,larger,,
"a airplane and a cat, the airplane is larger than the cat.",airplane,cat,,,larger,,
"a chair and a horse, the chair is smaller than the horse.",chair,horse,,,smaller,,
"a airplane and a person, the airplane is smaller than the person.",airplane,person,,,smaller,,
"a horse and a car, the horse is larger than the car.",horse,car,,,larger,,
"a car and a chair, the car is smaller than the chair.",car,chair,,,smaller,,
"a horse and a airplane, the horse is larger than the airplane.",horse,airplane,,,larger,,
"a cat and a airplane, the cat is smaller than the airplane.",cat,airplane,,,smaller,,
"a person and a banana, the person is smaller than the banana.",person,banana,,,smaller,,
"a airplane and a person, the airplane is smaller than the person.",airplane,person,,,smaller,,
"a cat and a horse, the cat is smaller than the horse.",cat,horse,,,smaller,,
"a horse and a chair, the horse is larger than the chair.",horse,chair,,,larger,,
"a car and a dog, the car is bigger than the dog.",car,dog,,,bigger,,
"a horse and a airplane, the horse is bigger than the airplane.",horse,airplane,,,bigger,,
"a horse and a banana, the horse is bigger than the banana.",horse,banana,,,bigger,,
"a chair and a banana, the chair is larger than the banana.",chair,banana,,,larger,,
"a car and a airplane, the car is bigger than the airplane.",car,airplane,,,bigger,,
"a dog and a cat, the dog is smaller than the cat.",dog,cat,,,smaller,,
"a chair and a cat, the chair is larger than the cat.",chair,cat,,,larger,,
"a cat and a airplane, the cat is smaller than the airplane.",cat,airplane,,,smaller,,
"a banana and a airplane, the banana is smaller than the airplane.",banana,airplane,,,smaller,,
"a horse and a chair, the horse is bigger than the chair.",horse,chair,,,bigger,,
"a dog and a chair, the dog is bigger than the chair.",dog,chair,,,bigger,,
"a car and a horse, the car is larger than the horse.",car,horse,,,larger,,
"a dog and a horse, the dog is larger than the horse.",dog,horse,,,larger,,
"a car and a banana, the car is bigger than the banana.",car,banana,,,bigger,,
"a chair and a person, the chair is larger than the person.",chair,person,,,larger,,
"a car and a dog, the car is smaller than the dog.",car,dog,,,smaller,,
"a cat and a airplane, the cat is larger than the airplane.",cat,airplane,,,larger,,
"a dog and a cat, the dog is larger than the cat.",dog,cat,,,larger,,
"a airplane and a person, the airplane is larger than the person.",airplane,person,,,larger,,
"a dog and a airplane, the dog is smaller than the airplane.",dog,airplane,,,smaller,,
"a person and a cat, the person is larger than the cat.",person,cat,,,larger,,
"a airplane and a banana, the airplane is larger than the banana.",airplane,banana,,,larger,,
"a car and a dog, the car is bigger than the dog.",car,dog,,,bigger,,
"a airplane and a cat, the airplane is larger than the cat.",airplane,cat,,,larger,,
"a dog and a chair, the dog is bigger than the chair.",dog,chair,,,bigger,,
"a horse and a banana, the horse is bigger than the banana.",horse,banana,,,bigger,,
"a person and a airplane, the person is smaller than the airplane.",person,airplane,,,smaller,,
"a banana and a airplane, the banana is smaller than the airplane.",banana,airplane,,,smaller,,
"a horse and a car, the horse is larger than the car.",horse,car,,,larger,,
"a chair and a car, the chair is smaller than the car.",chair,car,,,smaller,,
"a horse and a cat, the horse is bigger than the cat.",horse,cat,,,bigger,,
"a chair and a cat, the chair is bigger than the cat.",chair,cat,,,bigger,,
"a airplane and a dog, the airplane is bigger than the dog.",airplane,dog,,,bigger,,
"a airplane and a cat, the airplane is smaller than the cat.",airplane,cat,,,smaller,,
"a airplane and a car, the airplane is smaller than the car.",airplane,car,,,smaller,,
a airplane which is smaller than a person and bigger than dog.,airplane,person,dog,,smaller,bigger,
a banana which is bigger than a car and larger than dog.,banana,car,dog,,bigger,larger,
a banana which is larger than a dog and smaller than airplane.,banana,dog,airplane,,larger,smaller,
a banana which is bigger than a person and smaller than car.,banana,person,car,,bigger,smaller,
a banana which is larger than a cat and bigger than chair.,banana,cat,chair,,larger,bigger,
a cat which is bigger than a banana and larger than chair.,cat,banana,chair,,bigger,larger,
a car which is smaller than a chair and larger than cat.,car,chair,cat,,smaller,larger,
a chair which is larger than a banana and smaller than car.,chair,banana,car,,larger,smaller,
a dog which is smaller than a chair and bigger than person.,dog,chair,person,,smaller,bigger,
a chair which is larger than a airplane and bigger than car.,chair,airplane,car,,larger,bigger,
a airplane which is bigger than a chair and larger than person.,airplane,chair,person,,bigger,larger,
a chair which is smaller than a banana and bigger than person.,chair,banana,person,,smaller,bigger,
a airplane which is smaller than a chair and larger than dog.,airplane,chair,dog,,smaller,larger,
a person which is bigger than a dog and smaller than car.,person,dog,car,,bigger,smaller,
a dog which is smaller than a car and bigger than banana.,dog,car,banana,,smaller,bigger,
a banana which is smaller than a airplane and bigger than horse.,banana,airplane,horse,,smaller,bigger,
a airplane which is bigger than a banana and smaller than car.,airplane,banana,car,,bigger,smaller,
a dog which is larger than a airplane and smaller than banana.,dog,airplane,banana,,larger,smaller,
a airplane which is bigger than a cat and smaller than car.,airplane,cat,car,,bigger,smaller,
a horse which is larger than a person and bigger than chair.,horse,person,chair,,larger,bigger,
a banana which is smaller than a dog and larger than car.,banana,dog,car,,smaller,larger,
a horse which is larger than a car and smaller than dog.,horse,car,dog,,larger,smaller,
a car which is smaller than a person and bigger than chair.,car,person,chair,,smaller,bigger,
a dog which is smaller than a chair and bigger than airplane.,dog,chair,airplane,,smaller,bigger,
a horse which is smaller than a dog and bigger than chair.,horse,dog,chair,,smaller,bigger,
a cat which is larger than a horse and bigger than airplane.,cat,horse,airplane,,larger,bigger,
a banana which is bigger than a chair and larger than car.,banana,chair,car,,bigger,larger,
a banana which is larger than a chair and bigger than dog.,banana,chair,dog,,larger,bigger,
a dog which is smaller than a chair and bigger than banana.,dog,chair,banana,,smaller,bigger,
a banana which is larger than a dog and smaller than horse.,banana,dog,horse,,larger,smaller,
a car which is larger than a horse and smaller than banana.,car,horse,banana,,larger,smaller,
a dog which is bigger than a person and smaller than airplane.,dog,person,airplane,,bigger,smaller,
a airplane which is larger than a chair and smaller than dog.,airplane,chair,dog,,larger,smaller,
a person which is larger than a cat and smaller than chair.,person,cat,chair,,larger,smaller,
a airplane which is smaller than a dog and larger than chair.,airplane,dog,chair,,smaller,larger,
a car which is larger than a person and bigger than horse.,car,person,horse,,larger,bigger,
a cat which is smaller than a dog and larger than horse.,cat,dog,horse,,smaller,larger,
a chair which is smaller than a airplane and bigger than person.,chair,airplane,person,,smaller,bigger,
a horse which is bigger than a car and smaller than cat.,horse,car,cat,,bigger,smaller,
a car which is larger than a dog and smaller than banana.,car,dog,banana,,larger,smaller,
a airplane which is bigger than a banana and smaller than dog.,airplane,banana,dog,,bigger,smaller,
a airplane which is larger than a dog and smaller than cat.,airplane,dog,cat,,larger,smaller,
a chair which is larger than a horse and bigger than person.,chair,horse,person,,larger,bigger,
a person which is smaller than a cat and larger than chair.,person,cat,chair,,smaller,larger,
a banana which is smaller than a chair and larger than dog.,banana,chair,dog,,smaller,larger,
a airplane which is smaller than a chair and bigger than banana.,airplane,chair,banana,,smaller,bigger,
a horse which is bigger than a chair and smaller than banana.,horse,chair,banana,,bigger,smaller,
a horse which is bigger than a banana and smaller than person.,horse,banana,person,,bigger,smaller,
a banana which is bigger than a cat and smaller than chair.,banana,cat,chair,,bigger,smaller,
a cat which is larger than a horse and smaller than car.,cat,horse,car,,larger,smaller,
a chair which is larger than a cat and bigger than airplane.,chair,cat,airplane,,larger,bigger,
a horse which is larger than a chair and bigger than person.,horse,chair,person,,larger,bigger,
a horse which is larger than a person and bigger than banana.,horse,person,banana,,larger,bigger,
a chair which is smaller than a car and bigger than cat.,chair,car,cat,,smaller,bigger,
a banana which is bigger than a chair and smaller than horse.,banana,chair,horse,,bigger,smaller,
a dog which is bigger than a cat and larger than airplane.,dog,cat,airplane,,bigger,larger,
a banana which is smaller than a cat and bigger than horse.,banana,cat,horse,,smaller,bigger,
a car which is bigger than a cat and larger than horse.,car,cat,horse,,bigger,larger,
a horse which is larger than a airplane and bigger than cat.,horse,airplane,cat,,larger,bigger,
a horse which is smaller than a chair and larger than car.,horse,chair,car,,smaller,larger,
a dog which is smaller than a horse and larger than car.,dog,horse,car,,smaller,larger,
a cat which is larger than a banana and smaller than person.,cat,banana,person,,larger,smaller,
a banana which is larger than a cat and smaller than person.,banana,cat,person,,larger,smaller,
a horse which is smaller than a person and larger than cat.,horse,person,cat,,smaller,larger,
a banana which is bigger than a dog and smaller than chair.,banana,dog,chair,,bigger,smaller,
a banana which is bigger than a airplane and larger than chair.,banana,airplane,chair,,bigger,larger,
a chair which is smaller than a cat and larger than banana.,chair,cat,banana,,smaller,larger,
a airplane which is bigger than a horse and larger than car.,airplane,horse,car,,bigger,larger,
a airplane which is larger than a person and bigger than car.,airplane,person,car,,larger,bigger,
a cat which is bigger than a person and smaller than banana.,cat,person,banana,,bigger,smaller,
a cat which is bigger than a car and smaller than horse.,cat,car,horse,,bigger,smaller,
a banana which is bigger than a car and smaller than cat.,banana,car,cat,,bigger,smaller,
a airplane which is larger than a car and smaller than person.,airplane,car,person,,larger,smaller,
a horse which is larger than a cat and bigger than chair.,horse,cat,chair,,larger,bigger,
a car which is bigger than a airplane and larger than chair.,car,airplane,chair,,bigger,larger,
a airplane which is smaller than a person and bigger than chair.,airplane,person,chair,,smaller,bigger,
a chair which is larger than a horse and bigger than person.,chair,horse,person,,larger,bigger,
a horse which is larger than a chair and smaller than cat.,horse,chair,cat,,larger,smaller,
a car which is smaller than a banana and larger than cat.,car,banana,cat,,smaller,larger,
a cat which is larger than a chair and smaller than dog.,cat,chair,dog,,larger,smaller,
a horse which is smaller than a car and bigger than dog.,horse,car,dog,,smaller,bigger,
a banana which is bigger than a cat and smaller than airplane.,banana,cat,airplane,,bigger,smaller,
a cat which is smaller than a chair and larger than dog.,cat,chair,dog,,smaller,larger,
a person which is bigger than a dog and smaller than chair.,person,dog,chair,,bigger,smaller,
a car which is larger than a dog and bigger than person.,car,dog,person,,larger,bigger,
a person which is larger than a horse and bigger than chair.,person,horse,chair,,larger,bigger,
a chair which is smaller than a airplane and bigger than dog.,chair,airplane,dog,,smaller,bigger,
a chair which is larger than a car and smaller than banana.,chair,car,banana,,larger,smaller,
a horse which is smaller than a dog and bigger than cat.,horse,dog,cat,,smaller,bigger,
a banana which is larger than a chair and bigger than cat.,banana,chair,cat,,larger,bigger,
a horse which is bigger than a cat and larger than car.,horse,cat,car,,bigger,larger,
a chair which is smaller than a banana and larger than person.,chair,banana,person,,smaller,larger,
a banana which is larger than a dog and smaller than cat.,banana,dog,cat,,larger,smaller,
a car which is larger than a horse and bigger than person.,car,horse,person,,larger,bigger,
a person which is smaller than a chair and larger than horse.,person,chair,horse,,smaller,larger,
a person which is smaller than a horse and bigger than cat.,person,horse,cat,,smaller,bigger,
a cat which is bigger than a person and smaller than car.,cat,person,car,,bigger,smaller,
a horse which is smaller than a airplane and larger than car.,horse,airplane,car,,smaller,larger,
a airplane which is bigger than a person and larger than chair.,airplane,person,chair,,bigger,larger,
a banana which is smaller than a dog and larger than airplane.,banana,dog,airplane,,smaller,larger,
a person which is bigger than a cat and smaller than chair.,person,cat,chair,,bigger,smaller,
a airplane which is smaller than a banana and larger than chair.,airplane,banana,chair,,smaller,larger,
a airplane which is bigger than a dog and smaller than chair.,airplane,dog,chair,,bigger,smaller,
a horse which is bigger than a person and smaller than airplane.,horse,person,airplane,,bigger,smaller,
a banana which is smaller than a airplane and larger than horse.,banana,airplane,horse,,smaller,larger,
a person which is larger than a cat and smaller than dog.,person,cat,dog,,larger,smaller,
a car which is bigger than a dog and larger than horse.,car,dog,horse,,bigger,larger,
a dog which is smaller than a banana and larger than person.,dog,banana,person,,smaller,larger,
a car which is larger than a banana and bigger than horse.,car,banana,horse,,larger,bigger,
a cat which is smaller than a person and larger than airplane.,cat,person,airplane,,smaller,larger,
a horse which is smaller than a cat and bigger than car.,horse,cat,car,,smaller,bigger,
a airplane which is larger than a chair and smaller than dog.,airplane,chair,dog,,larger,smaller,
a dog which is smaller than a person and bigger than car.,dog,person,car,,smaller,bigger,
a banana which is smaller than a cat and larger than person.,banana,cat,person,,smaller,larger,
a dog which is bigger than a banana and larger than person.,dog,banana,person,,bigger,larger,
a person which is bigger than a airplane and larger than chair.,person,airplane,chair,,bigger,larger,
a dog which is smaller than a person and larger than car.,dog,person,car,,smaller,larger,
a banana which is larger than a chair and bigger than cat.,banana,chair,cat,,larger,bigger,
a banana which is larger than a chair and smaller than dog.,banana,chair,dog,,larger,smaller,
a airplane which is larger than a horse and bigger than chair.,airplane,horse,chair,,larger,bigger,
a horse which is smaller than a banana and larger than person.,horse,banana,person,,smaller,larger,
a person which is larger than a car and bigger than airplane.,person,car,airplane,,larger,bigger,
a banana which is smaller than a person and larger than chair.,banana,person,chair,,smaller,larger,
a horse which is larger than a banana and bigger than airplane.,horse,banana,airplane,,larger,bigger,
a cat which is larger than a banana and smaller than horse.,cat,banana,horse,,larger,smaller,
a airplane which is bigger than a person and smaller than cat.,airplane,person,cat,,bigger,smaller,
a dog which is larger than a chair and smaller than horse.,dog,chair,horse,,larger,smaller,
a car which is larger than a horse and bigger than person.,car,horse,person,,larger,bigger,
a airplane which is smaller than a person and bigger than horse.,airplane,person,horse,,smaller,bigger,
a cat which is larger than a car and bigger than airplane.,cat,car,airplane,,larger,bigger,
a banana which is bigger than a airplane and larger than chair.,banana,airplane,chair,,bigger,larger,
a banana which is smaller than a person and bigger than car.,banana,person,car,,smaller,bigger,
a horse which is smaller than a banana and bigger than chair.,horse,banana,chair,,smaller,bigger,
a dog which is bigger than a cat and smaller than banana.,dog,cat,banana,,bigger,smaller,
a chair which is bigger than a car and larger than dog.,chair,car,dog,,bigger,larger,
a airplane which is smaller than a car and bigger than cat.,airplane,car,cat,,smaller,bigger,
a horse which is larger than a person and bigger than cat.,horse,person,cat,,larger,bigger,
a dog which is larger than a airplane and smaller than banana.,dog,airplane,banana,,larger,smaller,
a banana which is smaller than a horse and larger than dog.,banana,horse,dog,,smaller,larger,
a horse which is smaller than a banana and larger than person.,horse,banana,person,,smaller,larger,
a dog which is larger than a person and bigger than banana.,dog,person,banana,,larger,bigger,
a car which is smaller than a horse and larger than cat.,car,horse,cat,,smaller,larger,
a cat which is smaller than a chair and larger than horse.,cat,chair,horse,,smaller,larger,
a banana which is smaller than a airplane and larger than horse.,banana,airplane,horse,,smaller,larger,
a horse which is bigger than a banana and smaller than chair.,horse,banana,chair,,bigger,smaller,
a car which is smaller than a dog and larger than airplane.,car,dog,airplane,,smaller,larger,
a cat which is larger than a person and bigger than dog.,cat,person,dog,,larger,bigger,
a banana which is bigger than a dog and larger than person.,banana,dog,person,,bigger,larger,
a dog which is larger than a horse and smaller than airplane.,dog,horse,airplane,,larger,smaller,
a horse which is bigger than a dog and larger than car.,horse,dog,car,,bigger,larger,
a horse which is bigger than a car and larger than banana.,horse,car,banana,,bigger,larger,
a cat which is bigger than a horse and larger than dog.,cat,horse,dog,,bigger,larger,
a banana which is bigger than a horse and larger than dog.,banana,horse,dog,,bigger,larger,
a chair which is smaller than a horse and bigger than car.,chair,horse,car,,smaller,bigger,
a person which is larger than a horse and bigger than car.,person,horse,car,,larger,bigger,
a horse which is bigger than a car and larger than cat.,horse,car,cat,,bigger,larger,
a chair which is larger than a car and smaller than banana.,chair,car,banana,,larger,smaller,
a car which is smaller than a airplane and larger than dog.,car,airplane,dog,,smaller,larger,
a car which is larger than a dog and bigger than airplane.,car,dog,airplane,,larger,bigger,
a cat which is larger than a car and smaller than person.,cat,car,person,,larger,smaller,
a cat which is larger than a dog and bigger than person.,cat,dog,person,,larger,bigger,
a banana which is larger than a car and bigger than dog.,banana,car,dog,,larger,bigger,
a car which is bigger than a cat and larger than banana.,car,cat,banana,,bigger,larger,
a person which is bigger than a dog and larger than cat.,person,dog,cat,,bigger,larger,
a chair which is bigger than a person and smaller than car.,chair,person,car,,bigger,smaller,
a horse which is smaller than a cat and larger than dog.,horse,cat,dog,,smaller,larger,
a airplane which is bigger than a person and smaller than horse.,airplane,person,horse,,bigger,smaller,
a car which is larger than a chair and banana and smaller than dog.,car,chair,banana,dog,larger,smaller,
a person which is larger than a banana and cat and bigger than airplane.,person,banana,cat,airplane,larger,bigger,
a cat which is smaller than a banana and chair and bigger than horse.,cat,banana,chair,horse,smaller,bigger,
a airplane which is bigger than a cat and banana and smaller than chair.,airplane,cat,banana,chair,bigger,smaller,
a person which is bigger than a dog and chair and smaller than banana.,person,dog,chair,banana,bigger,smaller,
a car which is smaller than a airplane and cat and larger than dog.,car,airplane,cat,dog,smaller,larger,
a person which is bigger than a car and chair and smaller than airplane.,person,car,chair,airplane,bigger,smaller,
a person which is larger than a horse and airplane and bigger than cat.,person,horse,airplane,cat,larger,bigger,
a car which is larger than a banana and dog and smaller than chair.,car,banana,dog,chair,larger,smaller,
a airplane which is bigger than a chair and cat and smaller than horse.,airplane,chair,cat,horse,bigger,smaller,
a car which is larger than a horse and airplane and bigger than dog.,car,horse,airplane,dog,larger,bigger,
a car which is larger than a horse and airplane and bigger than chair.,car,horse,airplane,chair,larger,bigger,
a car which is larger than a horse and cat and bigger than dog.,car,horse,cat,dog,larger,bigger,
a person which is bigger than a cat and airplane and larger than car.,person,cat,airplane,car,bigger,larger,
a car which is larger than a dog and banana and bigger than chair.,car,dog,banana,chair,larger,bigger,
a person which is smaller than a car and chair and bigger than cat.,person,car,chair,cat,smaller,bigger,
a dog which is bigger than a horse and chair and smaller than banana.,dog,horse,chair,banana,bigger,smaller,
a airplane which is larger than a cat and banana and bigger than chair.,airplane,cat,banana,chair,larger,bigger,
a person which is larger than a dog and banana and bigger than chair.,person,dog,banana,chair,larger,bigger,
a car which is smaller than a banana and dog and bigger than horse.,car,banana,dog,horse,smaller,bigger,
a cat which is larger than a banana and chair and smaller than horse.,cat,banana,chair,horse,larger,smaller,
a person which is bigger than a cat and banana and larger than car.,person,cat,banana,car,bigger,larger,
a person which is larger than a car and horse and bigger than cat.,person,car,horse,cat,larger,bigger,
a person which is smaller than a chair and cat and larger than horse.,person,chair,cat,horse,smaller,larger,
a person which is larger than a horse and car and smaller than chair.,person,horse,car,chair,larger,smaller,
a person which is larger than a chair and car and bigger than banana.,person,chair,car,banana,larger,bigger,
a car which is smaller than a chair and airplane and larger than horse.,car,chair,airplane,horse,smaller,larger,
a person which is larger than a cat and horse and smaller than dog.,person,cat,horse,dog,larger,smaller,
a airplane which is larger than a cat and chair and smaller than horse.,airplane,cat,chair,horse,larger,smaller,
a airplane which is larger than a cat and horse and bigger than dog.,airplane,cat,horse,dog,larger,bigger,
a car which is bigger than a cat and horse and smaller than chair.,car,cat,horse,chair,bigger,smaller,
a car which is bigger than a chair and horse and larger than dog.,car,chair,horse,dog,bigger,larger,
a person which is bigger than a car and airplane and larger than dog.,person,car,airplane,dog,bigger,larger,
a car which is smaller than a horse and airplane and bigger than banana.,car,horse,airplane,banana,smaller,bigger,
a cat which is smaller than a horse and banana and larger than chair.,cat,horse,banana,chair,smaller,larger,
a car which is smaller than a dog and banana and larger than horse.,car,dog,banana,horse,smaller,larger,
a person which is smaller than a car and airplane and bigger than cat.,person,car,airplane,cat,smaller,bigger,
a car which is larger than a horse and cat and bigger than dog.,car,horse,cat,dog,larger,bigger,
a person which is smaller than a chair and car and bigger than banana.,person,chair,car,banana,smaller,bigger,
a car which is larger than a chair and airplane and smaller than horse.,car,chair,airplane,horse,larger,smaller,
a cat which is bigger than a horse and chair and larger than dog.,cat,horse,chair,dog,bigger,larger,
